index,timeSec,x,y,cluster,isLogo
0,0,0.266048,-0.0879067,0,0
1,30,0.269746,-0.0920018,0,0
2,60,0.194672,-0.0347106,0,0
3,90,0.188873,-0.0277255,0,0
4,120,0.401679,-0.19502,0,0
5,150,0.208736,-0.0447591,0,0
6,180,0.369968,-0.171426,0,0
7,210,0.246644,-0.0779761,0,0
8,240,0.306285,-0.125521,0,0
9,270,0.302317,-0.119184,0,0
10,300,0.0131045,0.0845321,1,1
11,330,0.310847,-0.137747,0,0
12,360,-0.00056552,-0.0942328,1,1
13,390,0.286152,-0.175425,0,0
14,420,0.0126977,0.0770045,1,1
15,450,0.102871,-0.0934584,0,0
16,480,-0.139444,-0.168482,1,1
17,510,-0.0483326,0.101328,1,1
18,540,0.127293,-0.265315,0,0
19,570,-0.148016,-0.0933814,1,1
20,600,-0.0134612,0.0125965,1,1
21,630,-0.0809538,-0.0156366,1,1
22,660,0.00588491,0.107731,1,1
23,690,-0.00944503,0.0965343,1,1
24,720,0.000782033,0.0177459,1,1
25,750,-0.14657,-0.0797535,1,1
26,780,-0.0779032,0.0941094,1,1
27,810,-0.0823265,0.128396,1,1
28,840,0.00264293,0.0842066,1,1
29,870,-0.0790358,-0.0639884,1,1
30,900,-0.0182616,0.0518792,1,1
31,930,-0.0115304,0.0179002,1,1
32,960,0.0119626,0.0813887,1,1
33,990,0.0609386,0.00469038,1,1
34,1020,-0.107496,0.036675,1,1
35,1050,0.117738,-0.0602008,0,0
36,1080,0.0744508,-0.144487,0,0
37,1110,-0.0189402,0.103855,1,1
38,1140,-0.00445992,0.110346,1,1
39,1170,-0.0280603,0.0428597,1,1
40,1200,0.00796533,0.0708447,1,1
41,1230,-0.0115041,0.0521067,1,1
42,1260,-0.0999458,-0.0295697,1,1
43,1290,-0.0100921,0.107607,1,1
44,1320,0.00171149,0.0969269,1,1
45,1350,-0.172196,-0.210858,1,1
46,1380,0.29261,-0.213207,0,0
47,1410,0.131586,-0.0516412,0,0
48,1440,0.0339829,0.077549,1,1
49,1470,-0.00427671,0.106067,1,1
50,1500,-0.0385567,0.0636361,1,1
51,1530,-0.0798528,0.027924,1,1
52,1560,-0.117847,0.087286,1,1
53,1590,-0.0168281,0.0675171,1,1
54,1620,-0.0824174,-0.0399424,1,1
55,1650,0.0118741,0.0764488,1,1
56,1680,-0.00156726,-0.0236144,1,1
57,1710,-0.18044,-0.193861,1,1
58,1740,-0.115515,-0.0270778,1,1
59,1770,0.00412921,0.0582201,1,1
60,1800,0.000482528,0.0997509,1,1
61,1830,-0.0051656,0.0837261,1,1
62,1860,0.0103821,0.0702283,1,1
63,1890,0.250369,-0.167919,0,0
64,1920,-0.22628,-0.216783,1,1
65,1950,-0.0584797,-0.0967146,1,1
66,1980,-0.264337,-0.29244,1,1
67,2010,-0.00649589,0.113614,1,1
68,2040,0.187025,-0.119562,0,0
69,2070,0.238536,-0.138746,0,0
70,2100,-0.144358,0.0510692,1,1
71,2130,-0.00394414,0.0667266,1,1
72,2160,-0.0692115,0.110588,1,1
73,2190,0.00186875,0.084367,1,1
74,2220,-0.020932,0.0537979,1,1
75,2250,-0.0242936,0.0701446,1,1
76,2280,0.00250836,0.0879798,1,1
77,2310,-0.0220671,0.0517216,1,1
78,2340,-0.0782352,0.0394961,1,1
79,2370,-0.186742,-0.252718,1,1
80,2400,0.00638484,0.0777787,1,1
81,2430,-0.111844,-0.0885183,1,1
82,2460,-0.0208086,0.0421165,1,1
83,2490,-0.0724706,0.0137899,1,1
84,2520,-0.143331,-0.144604,1,1
85,2550,0.00773233,0.074923,1,1
86,2580,-0.137671,-0.0723815,1,1
87,2610,-0.132435,0.0105985,1,1
88,2640,-0.138312,0.0082561,1,1
89,2670,-0.014143,0.111031,1,1
90,2700,-0.0167241,0.110127,1,1
91,2730,0.0122937,0.0994503,1,1
92,2760,0.0420224,-0.0249327,1,1
93,2790,-0.0408513,-0.00218146,1,1
94,2820,-0.0545999,-0.171947,1,1
95,2850,0.00295944,0.0682649,1,1
96,2880,0.334637,-0.185583,0,0
97,2910,-0.0150382,-0.186607,1,1
98,2940,0.0113571,0.0811301,1,1
99,2970,0.0101771,0.0847417,1,1
100,3000,0.43408,-0.225834,0,0
101,3030,0.00729169,0.0977287,1,1
102,3060,-0.100352,0.134815,1,1
103,3090,-0.0699012,0.0219099,1,1
104,3120,0.0132133,0.0893297,1,1
105,3150,0.175446,-0.15132,0,0
106,3180,-0.0629398,-0.158849,1,1
107,3210,0.193754,-0.258982,0,0
108,3240,0.00829166,0.0328213,1,1
109,3270,-0.137722,-0.064912,1,1
110,3300,0.130385,-0.113959,0,0
111,3330,-0.0218616,0.0711981,1,1
112,3360,-0.00488569,-0.277537,0,0
113,3390,0.480121,-0.257284,0,0
114,3420,-0.175383,-0.170119,1,1
115,3450,-0.100198,-0.0300122,1,1
116,3480,0.0155031,0.0966747,1,1
117,3510,-0.252224,-0.276355,1,1
118,3540,-0.197149,-0.145514,1,1
119,3570,-0.0209503,0.0248935,1,1
120,3600,-0.114247,-0.0383442,1,1
121,3630,-0.144429,-0.193752,1,1
122,3660,0.00707395,0.08475,1,1
123,3690,-0.253259,-0.214221,1,1
124,3720,-0.144106,-0.0421709,1,1
125,3750,0.00740972,0.00275563,1,1
126,3780,0.0129938,0.0807776,1,1
127,3810,-0.121086,-0.0795844,1,1
128,3840,0.294205,-0.192204,0,0
129,3870,-0.0338302,-0.064888,1,1
130,3900,-0.096698,-0.0734482,1,1
131,3930,0.403247,-0.213513,0,0
132,3960,0.302268,-0.114117,0,0
133,3990,-0.0464437,0.098826,1,1
134,4020,-0.102847,0.0535435,1,1
135,4050,0.4024,-0.204482,0,0
136,4080,-0.00685506,0.105486,1,1
137,4110,-0.104991,-0.282579,1,1
138,4140,-0.158147,-0.0932293,1,1
139,4170,-0.162863,-0.278164,1,1
140,4200,-0.179548,-0.182249,1,1
141,4230,0.0160466,0.1098,1,1
142,4260,0.0132848,0.0808852,1,1
143,4290,0.0110787,0.0778702,1,1
144,4320,0.0136117,0.0877203,1,1
145,4350,0.0136858,0.106183,1,1
146,4380,0.012388,0.0797993,1,1
147,4410,0.0154469,0.0933133,1,1
148,4440,0.014141,0.0972634,1,1
149,4470,0.0019978,0.0983537,1,1
150,4500,0.0129869,0.0749802,1,1
151,4530,-0.219297,-0.150514,1,1
152,4560,0.0806373,-0.0862078,1,1
153,4590,0.0308039,-0.0370215,1,1
154,4620,0.11186,-0.0139357,1,1
155,4650,-0.0818511,-0.0581719,1,1
156,4680,-0.251163,-0.249073,1,1
157,4710,-0.086669,-0.218512,1,1
158,4740,-0.156602,-0.194869,1,1
159,4770,0.00222395,0.0826851,1,1
160,4800,-0.0746836,-0.0125312,1,1
161,4830,0.00547189,-0.195666,1,1
162,4860,-0.10328,0.031824,1,1
163,4890,0.0139719,0.0843854,1,1
164,4920,0.0324191,0.0724788,1,1
165,4950,0.0177299,0.00527161,1,1
166,4980,0.0159433,0.0367561,1,1
167,5010,0.0019192,0.000607852,1,1
168,5040,-0.0318524,0.0566928,1,1
169,5070,-0.0930494,-0.0620635,1,1
170,5100,-0.0392679,0.120201,1,1
171,5130,-0.0546348,0.0329385,1,1
172,5160,-0.25719,-0.275707,1,1
173,5190,0.152106,-0.0153966,0,0
174,5220,0.00354184,0.105531,1,1
175,5250,0.123339,-0.0259242,0,0
176,5280,0.159663,0.00244111,0,0
177,5310,-0.0253496,-0.00952196,1,1
178,5340,-0.0882971,0.0913879,1,1
179,5370,-0.0499347,-0.100987,1,1
180,5400,-0.0286699,-0.0433978,1,1
181,5430,0.0143136,0.0899766,1,1
182,5460,-0.00682677,0.0675797,1,1
183,5490,-0.0415405,0.111965,1,1
184,5520,-0.0542425,0.0402439,1,1
185,5550,-0.0344853,0.0938677,1,1
186,5580,-0.0974856,-0.133821,1,1
187,5610,-0.291559,-0.272005,1,1
188,5640,-0.166204,-0.201327,1,1
189,5670,-0.141942,-0.121126,1,1
190,5700,0.0483269,-0.108159,1,1
191,5730,-0.209774,-0.133362,1,1
192,5760,0.00169897,0.0681143,1,1
193,5790,-0.0262339,-0.213399,1,1
194,5820,-0.176662,-0.165747,1,1
195,5850,-0.021258,-0.119381,1,1
196,5880,0.189121,-0.115153,0,0
197,5910,-0.189355,-0.247887,1,1
198,5940,-0.127515,-0.199816,1,1
199,5970,-0.227633,-0.258544,1,1
200,6000,0.149958,0.0072273,0,0
201,6030,0.00131824,0.0760333,1,1
202,6060,0.0122711,0.0749358,1,1
203,6090,-0.0180108,0.0612833,1,1
204,6120,-0.038407,0.0528265,1,1
205,6150,0.0128298,0.0735844,1,1
206,6180,0.0175974,0.133628,1,1
207,6210,0.017895,0.136155,1,1
208,6240,0.0175254,0.137124,1,1
209,6270,0.0170424,0.134035,1,1
210,6300,0.0155615,0.134145,1,1
211,6330,0.00566237,0.134883,1,1
212,6360,0.0246163,0.103615,1,1
213,6390,0.0201923,0.135512,1,1
214,6420,0.0160801,0.135001,1,1
215,6450,0.0176584,0.1336,1,1
216,6480,-0.00723441,0.0960448,1,1
217,6510,0.0057864,0.124338,1,1
218,6540,0.0157303,0.140493,1,1
219,6570,0.000504511,0.133716,1,1
220,6600,0.0169906,0.136094,1,1
221,6630,0.00966518,0.128897,1,1
222,6660,0.017411,0.133696,1,1
223,6690,0.0175684,0.135637,1,1
224,6720,0.0173727,0.134828,1,1
225,6750,0.016749,0.147004,1,1
226,6780,0.0171415,0.133104,1,1
227,6810,0.0125976,0.0738433,1,1
228,6840,-0.00992325,0.110441,1,1
229,6870,0.016093,0.13265,1,1
230,6900,0.0169908,0.135165,1,1
231,6930,0.0171224,0.133159,1,1
232,6960,0.016409,0.135406,1,1
233,6990,-0.0028849,0.15718,1,1
234,7020,-0.00475096,0.15469,1,1
235,7050,0.0177505,0.138764,1,1
236,7080,0.0179395,0.138107,1,1
237,7110,-0.0229378,0.155629,1,1
238,7140,0.0185,0.144725,1,1
239,7170,0.0167337,0.130733,1,1
240,7200,0.0170866,0.134832,1,1
241,7230,-0.0238459,0.113529,1,1
242,7260,0.0174662,0.139044,1,1
243,7290,0.0167816,0.132258,1,1
244,7320,0.0174196,0.140176,1,1
245,7350,0.016753,0.145137,1,1
246,7380,0.0169772,0.139585,1,1
247,7410,0.0164765,0.133655,1,1
248,7440,0.0166611,0.134094,1,1
249,7470,0.0166049,0.138898,1,1
250,7500,0.0165397,0.133961,1,1
251,7530,0.0171075,0.143431,1,1
252,7560,0.0150214,0.135477,1,1
253,7590,0.0155067,0.136628,1,1
